2019-08-26	SÅLT	TEVA	23	7,55	1 666,71	SEK	9,65	71 563,79	632123766 	
	2019-07-26	KÖPT	MQ	550	2,2750	-1 254,00	SEK	1,00	40 486,19	629410184 	
	2019-07-26	KÖPT	MQ	10	2,2750	-24,00	SEK	1,00	41 740,19	629409944 	
	2019-07-25	KÖPT	TEVA	20	7,6792	-1 463,02	SEK	9,47	41 764,19	629359704 	
	2019-07-25	SÅLT	CYH	80	2,0250	1 518,33	SEK	9,43	43 227,21	629359360 	
	2019-07-25	KÖPT	MQ	10	2,2750	-24,00	SEK	1,00	41 708,88	629334430 	
	2019-07-24	SÅLT	TEVA	20	8,0601	1 506,35	SEK	9,40	41 732,88	629252664 	
	2019-07-23	KÖPT	CYH	80	2,06	-1 572,53	SEK	9,49	40 226,53	629157916 	
	2019-07-22	KÖPT	TEVA	20	7,5795	-1 439,36	SEK	9,44	41 799,06	629062683 	
	2019-07-22	KÖPT	TEVA	20	7,67	-1 455,33	SEK	9,43	43 238,42	629062665 	
	2019-07-22	KÖPT	MQ	10	2,3250	-24,00	SEK	1,00	44 693,75	629040627 	
	2019-07-22	SÅLT	MQ	10	2,30	22,00	SEK	1,00	44 717,75	629040626 	
	2019-07-22	KÖPT	MQ	383	2,24	-860,00	SEK	1,00	44 695,75	629017205 	
	2019-07-19	KÖPT	FTR	120	1,35	-1 531,86	SEK	9,40	45 555,75	628970650 	
	2019-07-19	KÖPT	MQ	367	2,24	-824,00	SEK	1,00	47 087,61	628959391 	
	2019-07-19	KÖPT	MQ	750	2,2650	-1 703,00	SEK	1,00	47 911,61	628959390 	
	2019-07-19	KÖPT	MQ	10	2,3150	-24,00	SEK	1,00	49 614,61	628948870 	
	2019-07-19	KÖPT	MQ	10	2,3150	-24,00	SEK	1,00	49 638,61	628941070 	
	2019-07-19	SÅLT	MQ	10	2,2650	22,00	SEK	1,00	49 662,61	628941069 	
	2019-07-19	KÖPT	MQ	10	2,34	-24,00	SEK	1,00	49 640,61	628931994 	
	2019-07-19	SÅLT	MQ	10	2,28	22,00	SEK	1,00	49 664,61	628931740 	
	2019-07-18	KÖPT	CYH	75	2,0579	-1 457,82	SEK	9,39	49 642,61	628867343 	
	2019-07-18	KÖPT	MQ	750	2,25	-1 692,00	SEK	1,00	51 100,43	628858838 	
	2019-07-18	KÖPT	MQ	750	2,28	-1 714,00	SEK	1,00	52 792,43	628858836 	
	2019-07-18	KÖPT	MQ	750	2,3050	-1 733,00	SEK	1,00	54 506,43	628855365 	
	2019-07-18	KÖPT	MQ	750	2,31	-1 737,00	SEK	1,00	56 239,43	628829640 	
	2019-07-18	KÖPT	MQ	750	2,33	-1 752,00	SEK	1,00	57 976,43	628819810 	
	2019-07-18	KÖPT	MQ	750	2,35	-1 767,00	SEK	1,00	59 728,43	628819808 	
	2019-07-17	KÖPT	TEVA	20	7,85	-1 484,37	SEK	9,40	61 495,43	628759130 	
	2019-07-17	KÖPT	TEVA	20	8,13	-1 536,99	SEK	9,40	62 979,80	628758612 	
	2019-07-17	KÖPT	TEVA	20	8,13	-1 536,99	SEK	9,40	64 516,79	628758611 	
	2019-07-16	KÖPT	TEVA	20	8,25	-1 563,48	SEK	9,42	66 053,78	628648384 	
	2019-07-16	KÖPT	CYH	70	2,3150	-1 534,01	SEK	9,41	67 617,26	628648078 	
	2019-07-16	SÅLT	DB	22	7,9406	1 628,32	SEK	9,37	69 151,27	628645560 	
	2019-07-16	SÅLT	MQ	750	2,49	1 863,00	SEK	1,00	67 522,95	628613017 	
